0	 0	 1148.925691277032	 0	 19.07318329046939	 127.1120623791227	 Fe hcp (Smith)
1	 1.689681096384003e-05	 1148.925690686459	 1.674424835069154e-14	 19.0731832876697	 127.1120623615034	 Fe hcp (Smith)
2	 1.689681096384003e-05	 1148.925690686459	 1.674424835069154e-14	 19.0731832876697	 127.1120623615034	 Fe hcp (Smith)
3	 1.728690495672075e-05	 1148.925690658876	 1.793094397180273e-14	 19.07318328753894	 127.1120623606805	 Fe hcp (Smith)
4	 1.766014573253627e-05	 1148.925690631894	 1.911763959291392e-14	 19.07318328741103	 127.1120623598755	 Fe hcp (Smith)
5	 1.801824348467639e-05	 1148.925690605466	 2.030433521402511e-14	 19.07318328728574	 127.112062359087	 Fe hcp (Smith)
6	 1.8380793865455e-05	 1148.925690578169	 2.155481077246206e-14	 19.07318328715633	 127.1120623582726	 Fe hcp (Smith)
7	 1.875028753418406e-05	 1148.925690549789	 2.288101135881711e-14	 19.0731832870218	 127.1120623574259	 Fe hcp (Smith)
8	 1.912716455484531e-05	 1148.92569052026	 2.428864030400763e-14	 19.07318328688181	 127.112062356545	 Fe hcp (Smith)
9	 1.951161115288398e-05	 1148.925690489533	 2.57828438116361e-14	 19.07318328673615	 127.1120623556282	 Fe hcp (Smith)
10	 1.990378423613898e-05	 1148.925690457558	 2.736896575230421e-14	 19.07318328658457	 127.1120623546743	 Fe hcp (Smith)
11	 2.030383970272509e-05	 1148.925690424285	 2.905266315916894e-14	 19.07318328642683	 127.1120623536816	 Fe hcp (Smith)
12	 2.071193606030306e-05	 1148.925690389661	 3.083993903702378e-14	 19.07318328626269	 127.1120623526486	 Fe hcp (Smith)
13	 2.112823493639134e-05	 1148.925690353631	 3.273716541887182e-14	 19.07318328609188	 127.1120623515737	 Fe hcp (Smith)
14	 2.155290119729105e-05	 1148.925690316139	 3.475110629329647e-14	 19.07318328591414	 127.1120623504551	 Fe hcp (Smith)
15	 2.198610302289545e-05	 1148.925690277124	 3.688894175856795e-14	 19.07318328572919	 127.1120623492912	 Fe hcp (Smith)
16	 2.24280119744224e-05	 1148.925690236524	 3.915829362689857e-14	 19.07318328553672	 127.1120623480799	 Fe hcp (Smith)
17	 2.287880306170057e-05	 1148.925690194277	 4.156725259517243e-14	 19.07318328533644	 127.1120623468195	 Fe hcp (Smith)
18	 2.333865480919878e-05	 1148.925690150314	 4.412440707171514e-14	 19.07318328512802	 127.1120623455079	 Fe hcp (Smith)
19	 2.380774933105896e-05	 1148.925690104566	 4.683887381799849e-14	 19.07318328491115	 127.112062344143	 Fe hcp (Smith)
20	 2.428627240263842e-05	 1148.92569005696	 4.972033044966334e-14	 19.07318328468547	 127.1120623427227	 Fe hcp (Smith)
21	 2.477441353276298e-05	 1148.925690007422	 5.277904993168298e-14	 19.07318328445063	 127.1120623412448	 Fe hcp (Smith)
22	 2.52723660404208e-05	 1148.925689955872	 5.60259372138409e-14	 19.07318328420624	 127.1120623397068	 Fe hcp (Smith)
23	 2.578032712764567e-05	 1148.925689902229	 5.947256808510768e-14	 19.07318328395194	 127.1120623381064	 Fe hcp (Smith)
24	 2.629849796257315e-05	 1148.925689846408	 6.313123047591947e-14	 19.07318328368732	 127.1120623364411	 Fe hcp (Smith)
25	 2.682708375375634e-05	 1148.925689788321	 6.701496823033445e-14	 19.07318328341194	 127.1120623347081	 Fe hcp (Smith)
26	 2.736629383832794e-05	 1148.925689727874	 7.113762765938338e-14	 19.07318328312539	 127.1120623329047	 Fe hcp (Smith)
27	 2.791634175793856e-05	 1148.925689664974	 7.551390685538218e-14	 19.0731832828272	 127.1120623310281	 Fe hcp (Smith)
28	 2.84774453474095e-05	 1148.92568959952	 8.015940812336365e-14	 19.0731832825169	 127.1120623290753	 Fe hcp (Smith)
29	 2.904982681925954e-05	 1148.925689531408	 8.509069359280526e-14	 19.07318328219401	 127.1120623270432	 Fe hcp (Smith)
30	 2.963371285483117e-05	 1148.925689460531	 9.032534429231829e-14	 19.073183281858	 127.1120623249287	 Fe hcp (Smith)
31	 3.022933468749425e-05	 1148.925689386775	 9.588202277143385e-14	 19.07318328150836	 127.1120623227282	 Fe hcp (Smith)
32	 3.08369282011845e-05	 1148.925689310025	 1.017805396976572e-13	 19.07318328114452	 127.1120623204385	 Fe hcp (Smith)
33	 3.145673402135319e-05	 1148.925689230159	 1.080419244653922e-13	 19.0731832807659	 127.1120623180557	 Fe hcp (Smith)
34	 3.208899760845516e-05	 1148.92568914705	 1.14688500151416e-13	 19.07318328037191	 127.1120623155762	 Fe hcp (Smith)
35	 3.27339693565799e-05	 1148.925689060567	 1.217439631140385e-13	 19.07318327996192	 127.112062312996	 Fe hcp (Smith)
36	 3.33919046928402e-05	 1148.925688970572	 1.292334674778975e-13	 19.07318327953529	 127.1120623103111	 Fe hcp (Smith)
37	 3.40630641788007e-05	 1148.925688876923	 1.371837148171707e-13	 19.07318327909133	 127.1120623075171	 Fe hcp (Smith)
38	 3.474771361328128e-05	 1148.925688779471	 1.456230493483159e-13	 19.07318327862934	 127.1120623046097	 Fe hcp (Smith)
39	 3.544612413660524e-05	 1148.925688678063	 1.545815589698803e-13	 19.0731832781486	 127.1120623015843	 Fe hcp (Smith)
40	 3.615857233912935e-05	 1148.925688572537	 1.640911825452165e-13	 19.07318327764834	 127.112062298436	 Fe hcp (Smith)
41	 3.688534037157528e-05	 1148.925688462727	 1.741858237827212e-13	 19.07318327712778	 127.1120622951599	 Fe hcp (Smith)
