T rho P
18.3926854985112 7.94328234724282e-10 6.95133880348125e-16
18.3926854985112 1e-09 6.95133880348125e-16
18.3926854985112 1.25892541179417e-09 6.95133880348125e-16
18.3926854985112 1.58489319246111e-09 6.95133880348125e-16
18.3926854985112 1.99526231496888e-09 6.95133880348125e-16
18.3926854985112 2.51188643150958e-09 6.95133880348125e-16
18.3926854985112 3.16227766016838e-09 6.95133880348125e-16
18.3926854985112 3.98107170553497e-09 6.95133880348125e-16
18.3926854985112 5.01187233627271e-09 6.95133880348125e-16
18.3926854985112 6.30957344480194e-09 6.95133880348125e-16
18.3926854985112 7.94328234724282e-09 6.95133880348125e-16
18.3926854985112 1e-08 6.95133880348125e-16
18.3926854985112 1.25892541179417e-08 6.95133880348125e-16
18.3926854985112 1.58489319246111e-08 6.95133880348125e-16
18.3926854985112 1.99526231496888e-08 6.95133880348125e-16
18.3926854985112 2.51188643150958e-08 6.95133880348125e-16
18.3926854985112 3.16227766016838e-08 6.95133880348125e-16
18.3926854985112 3.98107170553497e-08 6.95133880348125e-16
18.3926854985112 5.01187233627272e-08 6.95133880348125e-16
18.3926854985112 6.30957344480193e-08 6.95133880348125e-16
18.3926854985112 7.94328234724282e-08 6.95133880348125e-16
18.3926854985112 1e-07 6.95133880348125e-16
18.3926854985112 1.25892541179417e-07 6.95133880348125e-16
18.3926854985112 1.58489319246111e-07 6.95133880348125e-16
18.3926854985112 1.99526231496888e-07 6.95133880348125e-16
18.3926854985112 2.51188643150958e-07 6.95133880348125e-16
18.3926854985112 3.16227766016838e-07 6.95133880348125e-16
18.3926854985112 3.98107170553497e-07 6.95133880348125e-16
18.3926854985112 5.01187233627272e-07 6.95133880348125e-16
18.3926854985112 6.30957344480193e-07 6.95133880348125e-16
18.3926854985112 7.94328234724282e-07 6.95133880348125e-16
18.3926854985112 1e-06 6.95133880348125e-16
18.3926854985112 1.25892541179417e-06 6.95133880348125e-16
18.3926854985112 1.58489319246111e-06 6.95133880348125e-16
18.3926854985112 1.99526231496888e-06 6.95133880348125e-16
18.3926854985112 2.51188643150958e-06 6.95133880348125e-16
18.3926854985112 3.16227766016838e-06 6.95133880348125e-16
18.3926854985112 3.98107170553497e-06 6.95133880348125e-16
18.3926854985112 5.01187233627272e-06 6.95133880348125e-16
18.3926854985112 6.30957344480193e-06 6.95133880348125e-16
18.3926854985112 7.94328234724282e-06 6.95133880348125e-16
18.3926854985112 1e-05 6.95133880348125e-16
18.3926854985112 1.25892541179417e-05 6.95133880348125e-16
18.3926854985112 1.58489319246111e-05 6.95133880348125e-16
18.3926854985112 1.99526231496888e-05 6.95133880348125e-16
18.3926854985112 2.51188643150958e-05 6.95133880348125e-16
18.3926854985112 3.16227766016838e-05 6.95133880348125e-16
18.3926854985112 3.98107170553497e-05 6.95133880348125e-16
